ArcIds,AREA,PERIMETER,MUNIC_S#,MUNIC_S-ID,MUS_VA_SUP,MUS_NO_IND,MUS_DE_IND,MUS_CO_GEO,MUS_CO_DES,MUS_NM_MUN,MUS_CO_MRC,MUS_NM_MRC,MUS_CO_REG,MUS_NM_REG,MUS_NM_AGG,MUS_NM_COM,MUS_DA_CON,MUS_CO_MOD,MUS_DA_MOD,MUS_CO_SOU,MUS_CO_REF,MUS_CO_VER
"(1076:1893,1891,1885,1882,1878,1873,1869,1845,1841,1840,1835,1836,1833,...)",24.22000,51.81981,2,6317,155874.2738805933,50 02 0002 000,Territoire non organis,99904,NO,Baie-d'Hudson,992,Kativik,10,Nord-du-Qubec,,,        ,DEMEMB,20150610,MRN-DGIG,SDA20K,V2015-09
"(37:27,47,49,71,73,75,76,109,110,112,113,118,120,123,125,132,133,136,137,...)",0.08324,2.95426,3,6356,485.9180257468,50 02 0003 000,Territoire autochtone,99885,TI,Ivujivik,992,Kativik,10,Nord-du-Qubec,,,20150610,CONMUL,20150610,MRN-DGIG,SDA20K,V2015-09
"(1370:37,55,61,67,68,78,81,82,83,101,103,178,181,182,183,184,185,188,189,...)",52.84599,93.70163,4,6300,346429.1571726621,50 02 0002 000,Territoire non organis,99902,NO,Rivire-Koksoak,992,Kativik,10,Nord-du-Qubec,,,        ,,        ,MRN-DGIG,SDA20K,V2015-09
"(11:-85,-80,-79,72,-74,62,-66,64,-60,56,-54)",0.00642,0.49032,5,115,37.4711503670,50 02 0003 000,Territoire autochtone,99140,VN,Ivujivik,992,Kativik,10,Nord-du-Qubec,,,19810627,,        ,MRN-DGIG,SDA20K,V2015-09
"(2:58,60)",0.00005,0.03524,6,6322,0.3031475293,50 02 0002 000,Territoire non organis,99904,NO,Baie-d'Hudson,992,Kativik,10,Nord-du-Qubec,,,        ,DEMEMB,20150610,MRN-DGIG,SDA20K,V2015-09
"(2:65,74)",0.00040,0.14767,7,6319,2.3619413055,50 02 0002 000,Territoire non organis,99904,NO,Baie-d'Hudson,992,Kativik,10,Nord-du-Qubec,,,        ,DEMEMB,20150610,MRN-DGIG,SDA20K,V2015-09
"(2:63,66)",0.00001,0.01930,8,6327,0.0827024458,50 02 0002 000,Territoire non organis,99904,NO,Baie-d'Hudson,992,Kativik,10,Nord-du-Qubec,,,        ,DEMEMB,20150610,MRN-DGIG,SDA20K,V2015-09
"(22:127,135,173,174,177,176,175,-172,163,162,179,180,186,187,199,200,201,...)",0.10423,2.90585,9,7362,613.0249524666,50 02 0003 000,Territoire autochtone,99887,TI,Salluit,992,Kativik,10,Nord-du-Qubec,,,        ,,        ,MRN-DGIG,SDA20K,V2015-09
"(4:164,172,170,169)",0.00250,0.36239,10,7363,14.6546255650,50 02 0003 000,Territoire autochtone,99135,VN,Salluit,992,Kativik,10,Nord-du-Qubec,,,19791229,,        ,MRN-DGIG,SDA20K,V2015-09
"(10:214,243,-242,253,250,236,235,234,233,216)",0.01684,0.86451,11,6342,100.2633564954,50 02 0003 000,Territoire autochtone,99888,TI,Kangiqsujuaq,992,Kativik,10,Nord-du-Qubec,,,        ,,        ,MRN-DGIG,SDA20K,V2015-09
